radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,250,1,2700,19924,,39.301412,51.657618,2096,32,1,1367741903,1468311171,-89
GSM,250,1,2700,19855,,39.299836,51.669295,402,6,1,1367741907,1458905658,-85
GSM,250,1,2700,1614,,39.290394,51.666997,875,5,1,1367741907,1458905657,-93
GSM,250,1,2700,1572,,39.29848,51.677332,976,10,1,1367741907,1470280606,-87
GSM,250,1,2700,19853,,39.30034,51.680845,544,4,1,1367741908,1458905658,-86
GSM,250,1,2700,1574,,39.300801,51.682856,693,6,1,1367741908,1475193850,-91
GSM,250,1,2700,19854,,39.301382,51.680501,1405,30,1,1367741908,1473855479,-89
GSM,250,1,2700,2323,,39.29661,51.690189,9261,12,1,1367741908,1458905657,-97
GSM,250,1,2700,1571,,39.304044,51.690999,4655,31,1,1367741908,1475193850,-93
GSM,250,1,2700,19122,,39.307642,51.713951,1578,43,1,1367741909,1475193850,-93
GSM,250,1,2700,19125,,39.305367,51.702585,2144,56,1,1367741909,1475193850,-93
GSM,250,1,2700,19121,,39.308778,51.723798,1758,26,1,1367741910,1475193850,-95
GSM,250,1,2700,19124,,39.309658,51.73096,3988,37,1,1367741910,1475193850,-94
GSM,250,1,2700,1625,,39.301405,51.738103,6342,8,1,1367741911,1467085642,-84
GSM,250,1,2703,1871,,39.228571,51.729674,7551,14,1,1367741966,1469682657,-91
GSM,250,2,3601,40805,,39.182972,51.73607,1173,26,1,1368081507,1471630089,-99
GSM,250,2,3601,40451,,39.179024,51.729094,865,42,1,1368081507,1475011238,-76
GSM,250,2,3601,40455,,39.179188,51.727895,553,26,1,1368081507,1468455306,-69
GSM,250,2,3601,40456,,39.179098,51.724937,858,41,1,1368081507,1468455306,-71
GSM,250,2,3601,40176,,39.179367,51.722305,1000,39,1,1368081507,1468455306,-74
GSM,250,2,3601,40173,,39.180008,51.723548,1081,50,1,1368081507,1470521146,-69
GSM,250,2,3601,40171,,39.180219,51.711574,1875,60,1,1368081507,1468455306,-70
GSM,250,2,3601,40826,,39.179677,51.709567,468,35,1,1368081507,1468455307,-73
GSM,250,2,3601,40821,,39.180748,51.705652,1690,79,1,1368081507,1468533259,-69
GSM,250,2,3601,45676,,39.178654,51.702846,601,70,1,1368081507,1468511560,-65
GSM,250,2,3601,40825,,39.175228,51.704573,1168,112,1,1368081508,1468533259,-63
GSM,250,2,3601,40065,,39.170647,51.706131,947,137,1,1368081508,1468455306,-78
GSM,250,1,2703,9155,,39.179008,51.739783,992,100,1,1379581532,1477525067,-75
UMTS,250,1,2703,23733190,279,39.189625,51.731332,2093,87,1,1379581532,1475082517,-89
GSM,250,1,2703,19876,,39.213935,51.723776,372,25,1,1379581631,1469682658,-77
UMTS,250,1,2703,23743911,,39.239456,51.695227,4659,176,1,1379581633,1458583448,-87
GSM,250,1,2700,1725,,39.26568,51.670223,893,8,1,1379581748,1479342897,-62
UMTS,250,1,2700,23725650,,39.293714,51.65475,8756,216,1,1379581752,1458583434,-94
GSM,250,20,29500,2412,,39.246107,51.671014,1433,165,1,1379888062,1476837580,-63
GSM,250,20,29500,2413,,39.233096,51.667878,1156,61,1,1379889240,1476837580,-72
GSM,250,20,29700,133,,39.25435,51.672584,970,172,1,1379949250,1476865175,-71
GSM,250,20,29700,132,,39.256404,51.673265,1002,681,1,1379949255,1479128378,-58
GSM,250,20,29700,873,,39.260998,51.678351,1007,167,1,1379949255,1474553752,-96
GSM,250,20,29700,131,,39.259236,51.6776,1702,189,1,1379949272,1479128378,-67
UMTS,250,1,2703,23725311,310,39.194902,51.712325,2505,33,1,1381392037,1476241690,-93
UMTS,250,2,3600,23670047,,39.173875,51.638168,2063,241,1,1382194992,1404011110,-107
UMTS,250,1,2700,23743229,,39.261859,51.667378,3146,216,1,1383662303,1458583437,-106
GSM,250,1,2700,19197,,39.2604,51.668472,0,1,1,1383662412,1383662412,-81
UMTS,250,1,2700,23743889,133,39.296745,51.666732,2125,110,1,1383664400,1474049412,-103
UMTS,250,1,2700,23743890,,39.29534,51.669419,592,54,1,1383664400,1478939212,-94
UMTS,250,1,2700,23725649,,39.285142,51.665031,1146,616,1,1383664400,1427301661,-106
UMTS,250,1,2700,23736950,,39.295185,51.669127,543,29,1,1383664400,1458583436,-103
UMTS,250,1,2700,23736949,216,39.297662,51.668784,838,35,1,1383664782,1478679699,-102
GSM,250,1,2700,19851,,39.300613,51.671623,946,27,1,1383664782,1473855479,-89
GSM,250,1,2700,1314,,39.244133,51.669919,2483,27,1,1383664870,1463863694,-79
GSM,250,1,2700,1615,,39.272984,51.662869,1178,8,1,1383664914,1458905657,-88
GSM,250,1,2700,19192,,39.274622,51.657014,864,10,1,1383664914,1468311171,-93
GSM,250,20,29500,1213,,39.183266,51.656704,0,1,1,1223143955,1223143955,
GSM,250,20,29500,392,,39.189311,51.664087,0,1,1,1223143956,1223143956,
GSM,250,20,29300,301,,39.168963,51.696005,1255,184,1,1223143956,1223143963,
GSM,250,20,29300,382,,39.16908,51.705609,1529,203,1,1223143963,1479128861,-66
GSM,250,20,29300,193,,39.158465,51.708846,3809,425,1,1223143963,1478641415,-78
GSM,250,20,29500,311,,39.181997,51.679643,4292,237,1,1223143963,1479349462,-80
GSM,250,20,29300,311,,39.185029,51.67673,0,1,1,1223143964,1223143964,
GSM,250,20,29300,261,,39.182503,51.69805,354,38,1,1223143966,1238787174,
GSM,250,20,29300,262,,39.183208,51.689707,510,39,1,1223143966,1238787172,
GSM,250,20,29300,1792,,39.209379,51.688926,719,42,1,1223143966,1223143967,
GSM,250,20,29700,321,,39.205461,51.693001,61,9,1,1223143967,1223143968,
GSM,250,20,29800,393,,39.175611,51.665858,23,6,1,1223143968,1223144012,
GSM,250,20,29300,302,,39.183664,51.68476,463,14,1,1223143968,1238787172,
GSM,250,20,29300,303,,39.179101,51.680684,873,27,1,1223143968,1223143969,
GSM,250,20,29800,1892,,39.165904,51.678008,805,12,1,1223143969,1223143989,
GSM,250,20,29800,172,,39.161254,51.670964,31,11,1,1223143969,1223143969,
GSM,250,20,29300,271,,39.171084,51.725305,1347,21,1,1223143970,1479063921,
GSM,250,20,29300,1831,,39.180354,51.725517,1797,337,1,1223143970,1477525076,-75
GSM,250,20,29500,543,,39.235886,51.639908,0,1,1,1223143973,1223143973,
GSM,250,20,29300,842,,39.205402,51.691973,0,1,1,1223143974,1223143974,
GSM,250,20,29705,22,,39.182684,51.731286,8209,25,1,1223143974,1478282729,-85
GSM,250,20,29500,1852,,39.183164,51.636837,9859,241,1,1223143977,1238784955,
GSM,250,20,29800,862,,39.173277,51.637351,0,1,1,1223143985,1223143985,
GSM,250,20,29500,541,,39.242475,51.649499,1705,8,1,1223143985,1238786631,
GSM,250,20,29500,523,,39.229807,51.632842,0,1,1,1223143985,1223143985,
GSM,250,20,29500,492,,39.211239,51.636616,0,1,1,1223143985,1223143985,
GSM,250,20,29500,1282,,39.201408,51.643228,0,1,1,1223143985,1223143985,
GSM,250,20,29500,413,,39.179792,51.62761,0,1,1,1223143985,1223143985,
GSM,250,20,29800,1243,,39.169779,51.63988,3068,126,1,1223143985,1238784954,
GSM,250,20,29800,1241,,39.165536,51.670233,1320,57,1,1223143985,1238784950,
GSM,250,20,29800,362,,39.167378,51.674342,316,32,1,1223143988,1223143989,
GSM,250,20,29300,1892,,39.168995,51.676918,77,3,1,1223143989,1223143989,
GSM,250,20,29300,361,,39.166135,51.69815,0,1,1,1223143989,1223143989,
GSM,250,20,29500,1853,,39.176277,51.622452,0,1,1,1223144003,1223144003,
GSM,250,20,29300,351,,39.141466,51.696522,470,29,1,1223144005,1223144006,
GSM,250,20,29300,1921,,39.164829,51.691818,3193,150,1,1223144006,1223144012,
GSM,250,20,29500,1851,,39.180095,51.627853,0,1,1,1223144012,1223144012,
GSM,250,2,3600,40866,,39.136605,51.678095,1326,21,1,1223148896,1223151880,
GSM,250,2,3600,40864,,39.15207,51.673083,535,44,1,1223148896,1223150353,
GSM,250,2,3600,40861,,39.153932,51.671724,277,17,1,1223148896,1223151880,
GSM,250,2,3600,40865,,39.150937,51.666462,606,88,1,1223148900,1223151878,
GSM,250,2,3600,40754,,39.150483,51.663373,430,47,1,1223148901,1223151877,
GSM,250,2,3600,40753,,39.142491,51.664496,203,13,1,1223148901,1223150353,
GSM,250,2,3600,40755,,39.137829,51.655818,1005,42,1,1223148905,1223151876,
GSM,250,2,3600,40851,,39.145648,51.680011,24,8,1,1223149471,1223151881,
GSM,250,2,3600,40854,,39.145665,51.679968,35,20,1,1223149476,1223150197,
GSM,250,2,3600,40853,,39.144864,51.680293,1692,49,1,1223149504,1223151881,
GSM,250,2,3620,40583,,39.226926,51.724702,1246,4,1,1223151629,1472591171,
GSM,250,2,3600,40752,,39.139399,51.655688,25,3,1,1223151876,1223151876,
GSM,250,2,3600,40751,,39.150376,51.660182,235,3,1,1223151876,1223151876,
GSM,250,99,12289,30066,,39.254374,51.664124,1873,41,1,1238777016,1238780041,
GSM,250,99,12289,30062,,39.241295,51.663343,3601,54,1,1238777021,1238780360,
GSM,250,99,12289,30271,,39.273262,51.707664,0,1,1,1238777949,1238777949,
GSM,250,99,12289,30275,,39.272928,51.708276,2,2,1,1238777949,1238777949,
GSM,250,99,12289,39406,,39.274756,51.708011,141,89,1,1238778031,1238778039,
GSM,250,99,12289,39402,,39.272912,51.708478,123,62,1,1238778032,1238778040,
GSM,250,99,12289,30766,,39.303793,51.650034,230,22,1,1238779120,1238779120,
GSM,250,99,12289,39601,,39.301421,51.678557,557,36,1,1238779120,1238779121,
GSM,250,99,12289,39616,,39.28557,51.68549,808,38,1,1238779121,1238779129,
GSM,250,99,12289,39605,,39.278979,51.682322,167,32,1,1238779121,1238779130,
GSM,250,99,12289,39613,,39.280894,51.68579,370,114,1,1238779122,1238779129,
GSM,250,99,12289,39617,,39.27975,51.685157,364,51,1,1238779123,1238779130,
GSM,250,99,12289,39675,,39.279322,51.686609,105,30,1,1238779123,1238779127,
GSM,250,99,12289,39671,,39.279419,51.68654,4,3,1,1238779124,1238779124,
GSM,250,99,12289,39611,,39.283863,51.686419,11,4,1,1238779128,1238779128,
GSM,250,99,12289,39676,,39.274072,51.678132,568,43,1,1238779130,1238779131,
GSM,250,99,12289,39603,,39.270494,51.66611,499,28,1,1238779131,1238779132,
GSM,250,99,12289,39657,,39.264132,51.662655,811,44,1,1238779132,1238780361,
GSM,250,99,12289,39653,,39.250459,51.66443,153,13,1,1238779132,1238780360,
GSM,250,99,12289,39311,,39.247781,51.663452,703,55,1,1238779133,1238780360,
GSM,250,99,12289,39312,,39.241918,51.651802,131,4,1,1238779133,1238779133,
GSM,250,99,12289,30702,,39.236624,51.641737,19,2,1,1238779134,1238779134,
GSM,250,99,12289,40725,,39.23423,51.637005,9,2,1,1238779134,1238779134,
GSM,250,99,12289,30075,,39.231914,51.633775,772,65,1,1238779134,1238780040,
GSM,250,99,12289,40685,,39.209512,51.636796,44,5,1,1238779135,1238779135,
GSM,250,99,12289,39632,,39.204555,51.640634,403,6,1,1238779135,1238779135,
GSM,250,99,12289,30235,,39.197709,51.646359,344,13,1,1238779135,1238780038,
GSM,250,99,12289,30237,,39.187286,51.65341,229,16,1,1238779135,1238779736,
GSM,250,99,12289,39396,,39.185913,51.653711,313,226,1,1238779135,1238780286,
GSM,250,99,12289,30236,,39.185098,51.647486,682,53,1,1238779736,1238780037,
GSM,250,99,12289,39392,,39.185619,51.653393,109,13,1,1238779736,1238779824,
GSM,250,99,12289,30026,,39.188585,51.655551,12,2,1,1238779741,1238779741,
GSM,250,99,12289,30727,,39.271984,51.662936,901,26,1,1238779744,1238780361,
GSM,250,99,12289,39655,,39.276916,51.661324,63,6,1,1238779744,1238779744,
GSM,250,99,12289,30721,,39.292831,51.653852,660,11,1,1238779745,1238779746,
GSM,250,99,12289,30636,,39.183534,51.652636,0,1,1,1238779797,1238779797,
GSM,250,99,12289,30141,,39.186346,51.653849,39,12,1,1238779824,1238779835,
GSM,250,99,12289,30233,,39.187146,51.649113,619,14,1,1238779837,1238780037,
GSM,250,99,12289,39635,,39.202209,51.642675,0,1,1,1238780038,1238780038,
GSM,250,99,12289,39636,,39.208552,51.63705,211,12,1,1238780038,1238780038,
GSM,250,99,12289,30706,,39.237631,51.642947,326,18,1,1238780040,1238780040,
GSM,250,99,12289,30707,,39.240209,51.647899,236,7,1,1238780040,1238780041,
GSM,250,99,12289,39315,,39.246864,51.660973,40,6,1,1238780041,1238780358,
GSM,250,99,12289,39651,,39.273236,51.663016,351,15,1,1238780361,1238780361,
GSM,250,99,12289,30053,,39.167799,51.70854,380,6,1,1238781936,1241167185,
GSM,250,20,29800,3171,,39.137141,51.648515,909,115,1,1238784950,1474726008,-73
GSM,250,20,29700,1782,,39.261116,51.647397,5752,151,1,1238785297,1458888233,
GSM,250,20,29500,313,,39.18518,51.673622,963,97,1,1238785306,1475587862,-74
GSM,250,20,29700,481,,39.269808,51.637052,721,1937,1,1238785416,1458888233,
GSM,250,20,29300,562,,39.151507,51.705398,586,154,1,1238785421,1478800102,-63
GSM,250,20,29300,561,,39.151655,51.704774,1924,66,1,1238785421,1474726036,-79
GSM,250,20,29300,103,,39.17704,51.705687,1619,442,1,1238785427,1479349462,-71
GSM,250,20,29300,102,,39.17962,51.707065,2011,399,1,1238785428,1476241757,-66
GSM,250,20,29300,1311,,39.18838,51.706569,38,4,1,1238785430,1238785430,
GSM,250,20,29700,871,,39.260595,51.679531,1138,42,1,1238785929,1474607205,-98
GSM,250,20,29700,3162,,39.262093,51.678609,1969,763,1,1238786110,1458888233,-67
GSM,250,20,29700,1783,,39.250168,51.657505,4321,41,1,1238786585,1477735714,-77
GSM,250,20,29700,612,,39.24331,51.649736,2903,36,1,1238786609,1458888233,
GSM,250,20,29700,3163,,39.257251,51.676956,571,17,1,1238786664,1458888233,
GSM,250,20,29700,3161,,39.260965,51.679643,0,1,1,1238786698,1238786698,
GSM,250,20,29700,823,,39.260715,51.679583,43,6,1,1238786718,1238786803,
GSM,250,20,29500,11,,39.193742,51.667061,0,1,1,1238787170,1238787170,
GSM,250,20,29500,312,,39.185858,51.679322,4977,263,1,1238787171,1476913484,-78
GSM,250,20,29300,1313,,39.175872,51.702316,28,2,1,1238787173,1238787180,
GSM,250,20,29300,1233,,39.181044,51.715383,1580,79,1,1238787174,1475737713,-76
GSM,250,20,29300,72,,39.160989,51.711405,528,58,1,1238787174,1479063921,-73
GSM,250,20,29500,853,,39.191071,51.668935,25,6,1,1238787180,1238787180,
GSM,250,20,29300,443,,39.183473,51.692474,0,1,1,1238787180,1238787180,
GSM,250,20,29300,343,,39.245355,51.674171,15079,450,1,1238787180,1479063921,-84
GSM,250,20,29500,833,,39.190165,51.67217,772,75,1,1238787292,1474553749,-85
GSM,250,2,3650,40811,,39.167132,51.718695,81,6,1,1238792937,1238792937,
GSM,250,2,3600,40421,,39.190204,51.685377,257,218,1,1238793609,1238794900,
GSM,250,2,3650,40435,,39.190211,51.685455,70,72,1,1238793609,1238794904,
GSM,250,2,3600,40425,,39.189916,51.685443,199,97,1,1238793619,1238794893,
GSM,250,2,3600,40466,,39.189658,51.685407,138,73,1,1238793840,1238794903,
GSM,250,2,3600,40463,,39.190253,51.685481,38,66,1,1238793846,1238794904,
GSM,250,2,3650,40432,,39.190175,51.68543,21,14,1,1238794713,1238794900,
GSM,250,2,3600,40424,,39.187266,51.685077,33,15,1,1238794893,1238794893,
GSM,250,2,3650,40805,,39.179078,51.736035,291,18,1,1238795662,1238795663,
GSM,250,2,3650,40451,,39.171153,51.734224,181,19,1,1238795663,1238795663,
GSM,250,2,3650,40453,,39.165712,51.727142,485,32,1,1238795663,1238795664,
GSM,250,2,3650,40904,,39.156547,51.723956,156,18,1,1238795664,1238795665,
GSM,250,2,3650,40906,,39.154308,51.722612,40,5,1,1238795665,1238795665,
GSM,250,2,3650,40903,,39.146851,51.717569,6,2,1,1238795665,1238795665,
GSM,250,2,3650,40902,,39.141631,51.713459,0,1,1,1238795665,1238795665,
GSM,250,2,3650,40831,,39.138667,51.70929,198,6,1,1238795665,1238795665,
GSM,250,2,3650,40834,,39.138003,51.70809,29,2,1,1238795665,1238795665,
GSM,250,1,2700,19031,,39.267944,51.680313,221,18,1,1238803164,1238803164,
GSM,250,1,2700,19353,,39.266675,51.682237,472,2,1,1238803189,1458905658,
GSM,250,1,2700,19033,,39.24807,51.676516,58,3,1,1238803241,1238805521,
GSM,250,1,2700,19036,,39.248325,51.675545,181,169,1,1238803287,1238805269,
GSM,250,1,2701,1224,,39.205124,51.66689,626,109,1,1238803518,1462576356,
GSM,250,1,2701,1234,,39.198021,51.665009,167,23,1,1238803520,1238803521,
GSM,250,1,2701,1223,,39.206497,51.664522,300,3,1,1238803521,1458905658,
GSM,250,1,2700,19032,,39.252481,51.672213,0,1,1,1238804593,1238804593,
GSM,250,1,2700,19193,,39.26268,51.663931,1718,3,1,1238804785,1470280606,
GSM,250,1,2700,19035,,39.268629,51.677731,0,1,1,1238804878,1238804878,
GSM,250,1,2703,19976,,39.18329,51.69434,1416,313,1,1238808917,1238812421,
GSM,250,1,2703,19025,,39.180249,51.703284,1101,396,1,1238808919,1478910111,-64
GSM,250,1,2703,19973,,39.178086,51.697289,1271,171,1,1238808921,1238812279,
GSM,250,1,2703,19022,,39.172638,51.704774,2006,47,1,1238808921,1478910111,-63
GSM,250,1,2703,19026,,39.173641,51.710194,617,60,1,1238808922,1470521143,-62
GSM,250,1,2703,19024,,39.180064,51.711317,1183,151,1,1238808924,1470521143,
GSM,250,1,2703,1175,,39.165258,51.713811,2374,188,1,1238808924,1467199141,
GSM,250,1,2703,19814,,39.160996,51.71262,886,184,1,1238808925,1470521144,-71
GSM,250,1,2703,1376,,39.168988,51.715844,818,80,1,1238808928,1470521143,
GSM,250,1,2703,1174,,39.168269,51.719093,1974,279,1,1238808928,1477525066,-79
GSM,250,1,2700,19926,,39.27379,51.635243,906,12,1,1238811020,1468311171,
GSM,250,1,2703,1185,,39.149534,51.711803,828,111,1,1238812260,1458905660,-81
GSM,250,1,2703,19813,,39.155433,51.709027,655,36,1,1238812260,1466537938,-92
GSM,250,1,2703,19816,,39.154995,51.708335,223,93,1,1238812261,1238812265,
GSM,250,1,2703,1305,,39.152981,51.705533,507,108,1,1238812265,1466537938,-70
GSM,250,1,2703,19815,,39.159826,51.702686,1655,167,1,1238812266,1470521144,-77
GSM,250,1,2703,1344,,39.161396,51.701293,2659,19,1,1238812269,1478910111,
GSM,250,1,2703,19975,,39.183881,51.682879,823,144,1,1238812280,1238812288,
GSM,250,1,2703,19171,,39.18105,51.680723,473,75,1,1238812282,1469682657,
GSM,250,1,2703,19972,,39.184542,51.681094,60,17,1,1238812286,1238812287,
GSM,250,1,2703,19142,,39.173613,51.686514,1011,2,1,1238812286,1467101265,
GSM,250,1,2703,1375,,39.187479,51.71238,1218,192,1,1238812294,1470521143,
GSM,250,1,2703,19021,,39.187717,51.710239,1392,129,1,1238812295,1471738475,-70
GSM,250,1,2703,1294,,39.195087,51.707009,2201,40,1,1238812303,1458905661,
GSM,250,1,2703,19966,,39.1952,51.699582,924,145,1,1238812304,1458905663,
GSM,250,1,2700,19872,,39.196897,51.69999,148,30,1,1238812304,1238812305,
GSM,250,1,2703,1273,,39.192459,51.707699,1961,45,1,1238812305,1475737713,
GSM,250,1,2703,19971,,39.192878,51.690341,847,32,1,1238812306,1238812418,
GSM,250,1,2703,19974,,39.191291,51.692783,603,52,1,1238812306,1238812421,
GSM,250,1,2701,1226,,39.204987,51.66504,244,49,1,1238812327,1458905658,
GSM,250,1,2701,19056,,39.202602,51.662257,301,52,1,1238812327,1458905660,-59
GSM,250,1,2701,1266,,39.199868,51.661201,110,20,1,1238812329,1466572023,
GSM,250,1,2701,19085,,39.195918,51.659653,256,26,1,1238812329,1238812331,
GSM,250,1,2701,19084,,39.195538,51.659509,117,28,1,1238812329,1238812331,
GSM,250,1,2701,19086,,39.192745,51.658307,22,8,1,1238812331,1238812331,
GSM,250,1,2701,19894,,39.190644,51.656962,392,53,1,1238812331,1467180482,
GSM,250,1,2701,19061,,39.188312,51.656205,540,21,1,1238812332,1475193850,
GSM,250,1,2701,19896,,39.18626,51.656951,397,68,1,1238812332,1469300929,
GSM,250,1,2701,19094,,39.185083,51.658728,15,7,1,1238812333,1238812333,
GSM,250,1,2701,1565,,39.185555,51.659313,172,21,1,1238812333,1458905659,
GSM,250,1,2701,1564,,39.183388,51.66145,297,118,1,1238812334,1466814457,
GSM,250,1,2701,1561,,39.183801,51.661739,257,9,1,1238812335,1466814457,
GSM,250,1,2701,19375,,39.184115,51.662786,167,7,1,1238812339,1466814457,
GSM,250,1,2701,19374,,39.182117,51.664637,525,54,1,1238812339,1464428013,
GSM,250,1,2701,19376,,39.173864,51.667959,1001,70,1,1238812397,1466338055,
GSM,250,1,2703,19985,,39.177316,51.671018,199,62,1,1238812399,1238812400,
GSM,250,1,2703,19176,,39.181693,51.673137,395,67,1,1238812400,1469682657,
GSM,250,1,2703,19173,,39.184235,51.674924,754,10,1,1238812401,1469682657,
GSM,250,1,2703,19175,,39.186061,51.674172,423,48,1,1238812401,1469682657,-61
GSM,250,1,2703,19174,,39.186823,51.678448,731,164,1,1238812402,1469682657,-59
GSM,250,1,2703,19013,,39.195347,51.68032,503,19,1,1238812405,1470280606,
GSM,250,1,2703,19016,,39.195899,51.682043,806,29,1,1238812405,1470280606,
GSM,250,1,2703,19014,,39.196329,51.683569,982,134,1,1238812405,1464428015,-75
GSM,250,1,2703,19011,,39.192927,51.683904,868,48,1,1238812415,1469682657,
GSM,250,1,2703,19965,,39.191358,51.689813,1649,96,1,1238812417,1458905663,-86
GSM,250,1,2703,19963,,39.194618,51.706243,1072,40,1,1238812421,1469300929,
GSM,250,1,2700,19873,,39.194282,51.708257,779,32,1,1238812423,1238812425,
GSM,250,1,2703,19023,,39.170411,51.709942,881,27,1,1238812428,1470521143,-63
GSM,250,1,2703,1304,,39.148949,51.707017,645,70,1,1238812430,1466537938,-84
GSM,250,1,2703,1306,,39.147036,51.70545,539,68,1,1238812433,1466537938,-73
GSM,250,1,2703,1141,,39.192411,51.665695,388,27,1,1238812552,1468559262,
GSM,250,99,12289,30661,,39.168298,51.708902,0,1,1,1241167037,1241167037,
GSM,250,99,12289,30642,,39.168212,51.709052,8,3,1,1241167063,1241167091,
GSM,250,1,2703,1201,,39.230002,51.6963,1009,10,1,1242209096,1469682657,-97
GSM,250,1,2703,1272,,39.22955,51.695992,951,6,1,1242209139,1468559262,
GSM,250,20,29600,452,,39.285627,51.708186,503,3,1,1243494889,1471161945,
GSM,250,1,2701,1326,,39.181371,51.634449,694,48,1,1245170179,1469300929,-68
UMTS,250,1,2700,23739161,,39.179573,51.66553,0,1,1,1458583436,1458583436,
UMTS,250,1,2700,23741650,,39.200898,51.726042,0,1,1,1458583437,1458583437,
GSM,250,2,3650,40813,,39.159608,51.712013,0,1,1,1277149940,1277149940,
UMTS,250,2,19726,23699248,,39.144413,51.649425,659,2,1,1278314126,1278314133,
UMTS,250,2,19726,23699247,,39.153413,51.649506,87,2,1,1278314128,1278314128,
UMTS,250,2,19726,23699277,,39.155586,51.647986,31,2,1,1278314129,1278314129,
UMTS,250,2,19726,23699279,,39.152052,51.645857,565,3,1,1278314130,1278314131,
UMTS,250,2,19726,23699208,,39.144715,51.643501,11,2,1,1278314131,1278314132,
UMTS,250,2,19726,23699207,,39.144755,51.64346,8,2,1,1278314131,1278314132,
UMTS,250,2,19726,23699278,,39.165517,51.637998,239,3,1,1278348727,1278348729,
GSM,250,2,19726,40732,,39.169988,51.636217,62,2,1,1278348729,1278348729,
GSM,250,2,4110,40784,,39.170247,51.636259,457,3,1,1278348729,1278348737,
GSM,250,2,4366,40785,,39.174319,51.634945,124,2,1,1278348730,1278348736,
GSM,250,2,4366,40793,,39.179238,51.633246,49,2,1,1278348730,1278348731,
GSM,250,2,4366,40742,,39.181843,51.632786,30,2,1,1278348731,1278348731,
GSM,250,2,4110,40653,,39.186582,51.633577,102,2,1,1278348731,1278348732,
GSM,250,2,9230,40626,,39.189199,51.633941,123,3,1,1278348732,1278348732,
GSM,250,2,4110,40622,,39.196962,51.633825,0,1,1,1278348733,1278348733,
UMTS,250,2,4110,23699128,,39.199608,51.633928,98,2,1,1278348733,1278348733,
UMTS,250,2,19726,23699147,,39.226235,51.63304,0,1,1,1278348733,1278348733,
UMTS,250,2,19726,23699128,,39.218116,51.632976,1697,3,1,1278348734,1278348734,
GSM,250,2,19726,40632,,39.190552,51.634073,0,1,1,1278348734,1278348734,
GSM,250,2,19726,40653,,39.189597,51.634009,12,2,1,1278348735,1278348735,
GSM,250,2,9230,40656,,39.182477,51.632893,39,2,1,1278348735,1278348736,
GSM,250,2,9230,40734,,39.173354,51.635203,22,2,1,1278348736,1278348736,
GSM,250,2,4366,40784,,39.170497,51.636223,0,1,1,1278348737,1278348737,
GSM,250,2,4366,40323,,39.168712,51.636918,0,1,1,1278348737,1278348737,
UMTS,250,2,4366,23699279,,39.155165,51.642699,425,2,1,1278348737,1278348738,
GSM,250,20,29800,1242,,39.16537,51.652714,98,13,1,1281531055,1281531194,
GSM,250,2,3601,40422,,39.185004,51.67775,855,35,1,1288808676,1464444317,-78
GSM,250,2,3601,40425,,39.184157,51.681969,406,24,1,1288808690,1464444318,-81
UMTS,250,2,3610,23669647,,39.153804,51.677436,616,10,1,1298393534,1298474755,
UMTS,250,2,3610,23669657,,39.160293,51.678048,7,2,1,1298393777,1298393845,
UMTS,250,2,3601,23669657,,39.15518,51.66635,1796,79,1,1298474473,1446641724,-93
UMTS,250,2,3601,23669647,,39.152133,51.677121,681,44,1,1298474560,1446641723,-95
UMTS,250,2,3610,23669648,,39.139335,51.676797,0,1,1,1298474813,1298474813,
GSM,250,2,3600,40320,,39.179508,51.664195,2044,12,1,1298809148,1458863637,
GSM,250,2,3601,40852,,39.164786,51.679757,523,11,1,1298809266,1472518431,-77
GSM,250,2,3601,40855,,39.160259,51.677878,968,97,1,1298809386,1458863639,
GSM,250,2,3600,40312,,39.171979,51.667373,1613,43,1,1299929937,1467137518,-73
GSM,250,2,3600,40329,,39.181457,51.660332,2444,7,1,1299930052,1458863637,
UMTS,250,2,3620,23669587,,39.231749,51.62813,5,2,1,1300776628,1300776657,
UMTS,250,2,3600,23669607,4,39.192941,51.644528,167,2,1,1361388705,1458816900,
UMTS,250,1,2703,23733149,361,39.213818,51.668667,481,7,1,1365060757,1475587350,-98
GSM,250,20,29601,822,,39.272122,51.684023,2721,59,1,1365191656,1475233719,-61
GSM,250,20,29601,3453,,39.28204,51.665841,1805,105,1,1365191791,1477732989,
UMTS,250,1,2703,23725630,,39.179427,51.680504,502,96,1,1368784356,1476484423,-98
GSM,250,1,2703,1595,,39.178527,51.680434,541,54,1,1368784408,1469682657,-62
GSM,250,1,2703,1592,,39.177586,51.677659,373,8,1,1368784466,1469682657,
UMTS,250,2,3601,23669620,,39.148737,51.659371,441,4,1,1368864228,1458816901,
UMTS,250,2,3601,23669618,,39.143244,51.656665,342,4,1,1368864293,1458816901,
UMTS,250,2,3601,23669621,,39.143725,51.657498,85,2,1,1368864350,1458816901,
UMTS,250,99,12288,15468337,,39.198654,51.691946,1411,8,1,1369166866,1458633033,
GSM,250,20,29700,613,,39.286741,51.661079,9180,91,1,1372595738,1477732989,-74
GSM,250,20,29601,63,,39.287528,51.682134,2479,67,1,1372595752,1475233719,-69
UMTS,250,99,12288,15468389,75,39.148904,51.707237,812,26,1,1374008316,1474712816,-116
UMTS,250,1,2703,23726020,,39.148029,51.698524,0,1,1,1374343387,1374343387,
UMTS,250,99,12288,15468297,,39.175573,51.654243,430,27,1,1374487500,1458633033,-103
